# Table format: 2D
8
15
   -1.00000000000000e+000    -8.00000000000000e-001    -5.00000000000000e-001     8.00000000000000e-001     1.00000000000000e+000     1.20000000000000e+000     1.40000000000000e+000     1.60000000000000e+000 
   -8.32000000000000e-001    -7.81000000000000e-001    -7.07000000000000e-001    -5.73000000000000e-001    -4.47000000000000e-001    -2.43000000000000e-001     0.00000000000000e+000     3.05000000000000e-001     4.47000000000000e-001     6.00000000000000e-001     7.07000000000000e-001     7.81000000000000e-001     8.32000000000000e-001     8.68000000000000e-001     8.94000000000000e-001 
    1.80000000000000e-003     0.00000000000000e+000    -3.60000000000000e-003     3.82000000000000e-002     4.93000000000000e-002     6.31000000000000e-002     8.82000000000000e-002     1.13400000000000e-001 
    1.30000000000000e-002     6.50000000000000e-003     2.80000000000000e-003     3.55000000000000e-002     4.71000000000000e-002     5.20000000000000e-002     8.00000000000000e-002     8.78000000000000e-002 
    2.75000000000000e-002     1.39000000000000e-002     9.00000000000000e-003     3.05000000000000e-002     4.15000000000000e-002     4.59000000000000e-002     6.25000000000000e-002     8.47000000000000e-002 
    5.37000000000000e-002     3.49000000000000e-002     1.30000000000000e-002     2.82000000000000e-002     3.56000000000000e-002     4.48000000000000e-002     5.97000000000000e-002     7.64000000000000e-002 
    7.60000000000000e-002     4.89000000000000e-002     2.00000000000000e-002     4.48000000000000e-002     5.40000000000000e-002     6.00000000000000e-002     8.80000000000000e-002     1.04400000000000e-001 
    1.03500000000000e-001     7.06000000000000e-002     3.13000000000000e-002     5.69000000000000e-002     6.87000000000000e-002     8.37000000000000e-002     1.20300000000000e-001     1.41200000000000e-001 
    1.11100000000000e-001     7.78000000000000e-002     4.10000000000000e-002     6.90000000000000e-002     8.40000000000000e-002     9.50000000000000e-002     1.36100000000000e-001     1.75000000000000e-001 
    9.07000000000000e-002     6.80000000000000e-002     2.84000000000000e-002     2.52000000000000e-002     4.35000000000000e-002     6.55000000000000e-002     9.98000000000000e-002     1.28500000000000e-001 
    8.89000000000000e-002     6.89000000000000e-002     3.88000000000000e-002     1.76000000000000e-002     2.89000000000000e-002     4.89000000000000e-002     6.00000000000000e-002     9.55000000000000e-002 
    9.47000000000000e-001     7.04000000000000e-002     3.90000000000000e-002     5.30000000000000e-003     1.42000000000000e-002     2.49000000000000e-002     3.91000000000000e-002     5.69000000000000e-002 
    8.90000000000000e-002     6.67000000000000e-002     3.85000000000000e-002    -7.00000000000000e-003     2.00000000000000e-003     1.11000000000000e-002     2.25000000000000e-002     3.47000000000000e-002 
    8.64000000000000e-002     6.40000000000000e-002     3.93000000000000e-002    -1.75000000000000e-002    -1.07000000000000e-002    -3.90000000000000e-003     5.90000000000000e-003     1.63000000000000e-002 
    7.69000000000000e-002     5.90000000000000e-002     4.18000000000000e-002    -2.41000000000000e-002    -1.95000000000000e-002    -1.28000000000000e-002    -5.10000000000000e-003     4.30000000000000e-003 
    6.97000000000000e-002     5.54000000000000e-002     4.53000000000000e-002    -2.73000000000000e-002    -2.44000000000000e-002    -2.02000000000000e-002    -1.43000000000000e-002    -8.40000000000000e-003 
    6.50000000000000e-002     5.33000000000000e-002     4.34000000000000e-002    -2.88000000000000e-002    -2.70000000000000e-002    -2.42000000000000e-002    -1.98000000000000e-002    -1.54000000000000e-002 
